variant,profile,run_id,is_warmup,samples_total,samples_success,samples_failed,duration_s,throughput_rps,http_mean_ms,http_median_ms,http_p95_ms,http_p99_ms,app_n,app_mean_ms,app_median_ms,app_p95_ms,app_p99_ms,submitted_n,classified_n,failed_n,swept_n,pairing_loss_pct
s-async,baseline,baseline_m4,False,201,201,0,3.114,64.54720616570327,12.696517412935323,11.0,18.0,47.0,200,1529.745,1630.5,2741.6499999999996,2860.0699999999997,200,200,0,0,0.0
s-async,baseline,baseline_m5,False,201,201,0,3.01,66.77740863787376,11.865671641791044,11.0,16.0,32.0,200,1448.55,1430.0,2740.6499999999996,2838.02,200,200,0,0,0.0
s-async,baseline,baseline_warmup,True,201,201,0,2.84,70.77464788732395,11.119402985074627,10.0,13.0,28.0,600,1576.5316666666668,1535.5,2876.1,3211.01,600,600,0,0,0.0
s-async,high,high_m1,False,48961,48961,0,60.403,810.5723225667599,33.62627397316231,33.0,50.0,62.0,1044,16675.32950191571,16574.5,32575.799999999996,33913.11,48960,1044,47922,47922,-0.012254901960784314
s-async,high,high_m2,False,46403,46403,0,60.459,767.5118675466018,35.47697347154279,33.0,58.0,88.0,970,16618.901030927835,16499.5,31750.8,33041.909999999996,46402,970,45436,45436,-0.008620318089737511
s-async,high,high_m3,False,39694,39694,0,60.435,656.8048316372963,41.49148485917267,38.0,76.0,105.0,986,16354.843813387424,16167.0,32397.75,33751.299999999996,39693,986,38712,38712,-0.012596679515279771
s-async,high,high_m4,False,45298,45298,0,60.432,749.5697643632512,36.34111881319264,35.0,57.0,77.0,974,16288.166324435319,16248.5,31410.699999999997,32806.8,45297,974,44326,44326,-0.0066229551625935495
s-async,high,high_m5,False,53360,53360,0,60.42,883.1512744124462,30.843909295352322,31.0,44.0,57.0,1051,16520.921979067556,16443.0,32205.5,33567.5,53359,1051,52313,52313,-0.00937049045147023
s-async,high,high_warmup,True,49375,49375,0,60.404,817.4127541222435,33.344101265822786,33.0,51.0,64.0,1019,16500.218842001963,16363.0,32230.199999999993,33629.38,49374,1019,48359,48359,-0.00810142990237777
s-async,moderate,moderate_m1,False,4825,4825,0,60.314,79.99801041217627,15.673160621761658,14.0,23.0,54.0,2264,16235.176236749117,16801.5,31022.7,32261.0,4824,2264,2572,2572,-0.24875621890547264
s-async,moderate,moderate_m2,False,4883,4883,0,60.377,80.8751676963082,13.796846201105877,13.0,19.0,25.0,2415,15932.297722567288,15967.0,30956.8,33990.880000000005,4882,2415,2471,2471,-0.0819336337566571
s-async,moderate,moderate_m3,False,4952,4952,0,60.366,82.0329324454163,12.926696284329564,12.0,18.0,26.0,2347,15739.438005965061,15690.0,30743.0,32084.239999999998,4951,2347,2608,2608,-0.08079175924055747
s-async,moderate,moderate_m4,False,4958,4958,0,60.37,82.12688421401359,13.13896732553449,12.0,20.0,32.0,2284,15795.371278458844,15833.0,30841.95,32144.510000000002,4957,2284,2677,2677,-0.08069396812588259
s-async,moderate,moderate_m5,False,4925,4925,0,60.389,81.55458775604828,13.393908629441624,13.0,20.0,23.0,2378,15814.656854499579,15750.5,30947.3,34496.020000000004,4924,2378,2550,2550,-0.08123476848090982
s-async,moderate,moderate_warmup,True,4919,4919,0,60.393,81.44983690162768,13.928847326692416,12.0,21.0,57.63999999999942,2323,16043.925957813173,16377.0,30780.8,34361.9,4918,2323,2600,2600,-0.101667344448963
s-sync,baseline,baseline_m1,False,201,201,0,19.293,10.418286425128285,93.68656716417911,93.0,98.0,105.0,200,84.72,85.0,89.0,92.13999999999987,200,200,0,0,0.0
s-sync,baseline,baseline_m2,False,201,201,0,18.79,10.697179350718468,90.72636815920399,90.0,95.0,98.0,200,79.67,79.0,81.0,86.0,200,200,0,0,0.0
s-sync,baseline,baseline_m3,False,201,201,0,19.513,10.300825090964997,94.44776119402985,93.0,105.0,119.0,200,82.865,81.0,92.0,107.00999999999999,200,200,0,0,0.0
s-sync,baseline,baseline_m4,False,201,201,0,19.493,10.311393833683887,94.07960199004975,93.0,103.0,107.0,200,82.3,81.0,88.0,93.1099999999999,200,200,0,0,0.0
s-sync,baseline,baseline_m5,False,201,201,0,18.822,10.678992668154288,91.04477611940298,91.0,96.0,101.0,200,80.3,80.0,84.0,90.03999999999996,200,200,0,0,0.0
s-sync,baseline,baseline_warmup,True,201,201,0,19.499,10.308220934406894,94.26865671641791,92.0,102.0,113.0,200,83.285,81.0,89.04999999999998,104.0,200,200,0,0,0.0
